word,성학대,신체학대,정서학대,방임
긴장,8.0,33.0,19.0,5.0
길다,1.0,1.0,4.0,4.0
길이,1.0,7.0,0.0,0.0
깁스,0.0,30.0,1.0,3.0
깊다,6.0,17.0,14.0,6.0
깊이,6.0,3.0,2.0,0.0
까먹다,2.0,6.0,0.0,5.0
까불다,3.0,2.0,2.0,0.0
깔다,1.0,3.0,2.0,0.0
깜빡,0.0,1.0,2.0,5.0
깜짝,5.0,7.0,3.0,1.0
깨끗하다,3.0,16.0,5.0,13.0
깨다,57.0,85.0,47.0,29.0
깨물다,2.0,4.0,0.0,1.0
깨우다,10.0,13.0,6.0,7.0
깨지다,1.0,7.0,3.0,1.0
꺼내다,2.0,10.0,7.0,5.0
꺼지다,1.0,10.0,7.0,6.0
꺾다,0.0,4.0,1.0,3.0
꼬집다,3.0,13.0,3.0,3.0
꼬투리,0.0,4.0,2.0,0.0
꼴다,0.0,6.0,7.0,0.0
꾸다,119.0,234.0,125.0,88.0
꾸리,0.0,4.0,0.0,1.0
꾸미다,5.0,1.0,6.0,4.0
꾸중,2.0,1.0,3.0,0.0
꿀밤,0.0,5.0,0.0,0.0
꿇다,0.0,6.0,6.0,2.0
꿈꾸다,16.0,12.0,9.0,6.0
꿈속,3.0,1.0,0.0,1.0
꿰매다,1.0,19.0,0.0,2.0
끄다,48.0,80.0,54.0,35.0
끊다,2.0,4.0,0.0,1.0
끌리다,1.0,4.0,0.0,0.0
끌어안다,12.0,4.0,0.0,0.0
끓이다,0.0,5.0,0.0,6.0
끔찍하다,11.0,4.0,1.0,1.0
끝나다,42.0,66.0,36.0,39.0
끝내다,1.0,8.0,5.0,0.0
끝내주다,5.0,3.0,0.0,0.0
끼다,10.0,4.0,3.0,1.0
끼리,6.0,28.0,12.0,18.0
끼우다,1.0,2.0,3.0,0.0
끼치다,6.0,0.0,0.0,1.0
나가다,62.0,145.0,108.0,111.0
나가야,3.0,6.0,2.0,2.0
나가요,11.0,12.0,9.0,28.0
나기,4.0,11.0,1.0,7.0
나나,0.0,7.0,2.0,1.0
나누다,3.0,7.0,5.0,7.0
나니,1.0,3.0,3.0,1.0
나라,5.0,6.0,0.0,7.0
나르다,9.0,32.0,8.0,4.0
나름,2.0,6.0,5.0,0.0
나머지,5.0,0.0,3.0,4.0
나무,0.0,26.0,4.0,2.0
나본,3.0,0.0,2.0,4.0
나빠지다,3.0,11.0,2.0,2.0
나쁘다,77.0,162.0,81.0,49.0
나서다,71.0,150.0,55.0,59.0
나시,0.0,2.0,2.0,2.0
나아지다,9.0,24.0,22.0,19.0
나오다,82.0,104.0,70.0,45.0
나은,0.0,2.0,1.0,2.0
나이,21.0,9.0,2.0,6.0
나중,17.0,28.0,13.0,27.0
나타나다,6.0,15.0,6.0,0.0
낙서,2.0,5.0,2.0,3.0
난대,0.0,8.0,0.0,6.0
난동,0.0,3.0,1.0,1.0
난리,1.0,10.0,10.0,3.0
날다,6.0,17.0,5.0,3.0
날씨,0.0,3.0,1.0,2.0
날아가다,1.0,5.0,1.0,1.0
날아다니다,1.0,2.0,0.0,2.0
날짜,0.0,2.0,0.0,3.0
날카롭다,3.0,5.0,4.0,1.0
남기다,2.0,5.0,1.0,0.0
남다,14.0,28.0,9.0,10.0
남동생,15.0,74.0,20.0,33.0
남아,3.0,8.0,1.0,2.0
남자,25.0,20.0,11.0,5.0
남자친구,15.0,9.0,1.0,5.0
낫다,1.0,9.0,4.0,2.0
낮다,1.0,5.0,5.0,2.0
낳다,0.0,8.0,6.0,9.0
내기,1.0,6.0,5.0,1.0
내내,5.0,9.0,8.0,12.0
내년,4.0,4.0,2.0,4.0
내놓다,2.0,3.0,0.0,0.0
내다,44.0,269.0,127.0,56.0
내려가다,0.0,5.0,0.0,4.0
내려오다,1.0,3.0,2.0,0.0
내리다,11.0,10.0,6.0,1.0
내면,9.0,69.0,21.0,19.0
내버리다,2.0,2.0,1.0,6.0
내보내다,0.0,4.0,4.0,2.0
내복,0.0,6.0,0.0,0.0
내세,6.0,11.0,11.0,5.0
내시,4.0,11.0,5.0,2.0
내용,9.0,13.0,9.0,2.0
내일,2.0,7.0,4.0,4.0
내주다,5.0,7.0,2.0,3.0
내지,1.0,2.0,2.0,2.0
내쫓다,2.0,8.0,5.0,0.0
냄새,9.0,39.0,12.0,72.0
냉장고,0.0,3.0,4.0,5.0
너무,166.0,323.0,205.0,146.0
너희,0.0,7.0,6.0,4.0
넘기다,2.0,6.0,5.0,0.0
넘다,60.0,132.0,69.0,74.0
넘어가다,10.0,30.0,12.0,13.0
넘어뜨리다,0.0,12.0,0.0,2.0
넘어서다,0.0,7.0,8.0,9.0
넘어지다,15.0,43.0,25.0,19.0
넘치다,0.0,4.0,1.0,0.0
넣기,7.0,0.0,0.0,0.0
넣다,68.0,18.0,12.0,8.0
노래,37.0,61.0,31.0,22.0
노래방,25.0,6.0,9.0,9.0
노려보다,1.0,14.0,3.0,1.0
노력,13.0,24.0,15.0,8.0
노트,1.0,2.0,0.0,2.0
놀다,182.0,351.0,182.0,163.0
놀라다,30.0,36.0,16.0,6.0
놀래다,1.0,1.0,2.0,1.0
놀리다,21.0,14.0,27.0,30.0
놀림,2.0,2.0,1.0,5.0
놀이,21.0,34.0,15.0,17.0
놀이터,16.0,52.0,26.0,26.0
농구,5.0,18.0,12.0,6.0
높다,3.0,4.0,7.0,4.0
높아지다,2.0,0.0,3.0,0.0
놓다,14.0,33.0,16.0,18.0
놔두다,2.0,5.0,7.0,3.0
누가,38.0,45.0,20.0,17.0
누구,10.0,11.0,16.0,2.0
누군가,4.0,6.0,4.0,3.0
누굴,0.0,4.0,1.0,2.0
누나,16.0,30.0,22.0,11.0
누르다,14.0,14.0,3.0,2.0
누우,5.0,10.0,7.0,4.0
눈물,8.0,20.0,16.0,6.0
눈빛,5.0,4.0,3.0,1.0
눈썹,0.0,4.0,0.0,2.0
눈앞,1.0,4.0,2.0,2.0
눈치,14.0,60.0,37.0,15.0
눕다,49.0,57.0,23.0,32.0
뉴스,3.0,3.0,4.0,1.0
느껴지다,23.0,16.0,13.0,12.0
느끼다,22.0,26.0,33.0,30.0
느낌,29.0,40.0,19.0,19.0
느리다,1.0,8.0,8.0,0.0
는걸,3.0,4.0,2.0,6.0
늘다,9.0,52.0,31.0,14.0
늘리다,1.0,2.0,2.0,0.0
늘어나다,3.0,5.0,4.0,4.0
늦다,31.0,80.0,36.0,59.0
다가,11.0,21.0,13.0,11.0
다가가다,2.0,2.0,2.0,2.0
다가오다,3.0,6.0,5.0,5.0
다기,3.0,7.0,3.0,2.0
다녀오다,4.0,17.0,4.0,3.0
다니다,75.0,95.0,59.0,78.0
다르다,9.0,28.0,19.0,9.0
다른,102.0,139.0,102.0,81.0
다리,24.0,111.0,12.0,14.0
다리다,1.0,4.0,0.0,0.0
다섯,68.0,146.0,67.0,76.0
다시,35.0,66.0,32.0,32.0
다시다,2.0,1.0,5.0,1.0
다양하다,5.0,10.0,5.0,4.0
다예,3.0,1.0,1.0,2.0
다음,25.0,59.0,23.0,22.0
다이어리,2.0,0.0,3.0,0.0
다정하다,13.0,24.0,7.0,6.0
다치다,106.0,269.0,148.0,108.0
다투다,2.0,1.0,1.0,1.0
다행,1.0,13.0,4.0,3.0
다행하다,0.0,9.0,3.0,0.0
닦다,4.0,4.0,1.0,0.0
단소,0.0,5.0,0.0,2.0
단어,2.0,3.0,5.0,0.0
단짝,1.0,3.0,1.0,0.0
단호,2.0,1.0,6.0,0.0
닫다,5.0,5.0,7.0,3.0
달다,5.0,2.0,2.0,2.0
달도,1.0,3.0,0.0,3.0
달라,57.0,44.0,21.0,28.0
달라지다,2.0,10.0,2.0,2.0
달래다,2.0,4.0,2.0,1.0
달려오다,0.0,4.0,2.0,0.0
달리기,2.0,9.0,6.0,2.0
달리다,3.0,5.0,1.0,2.0
달이,4.0,3.0,1.0,3.0
